image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_001_3px.png,denoise_otsu,0.7,1.8,0.3,beamsearch,VV(,0.6363,N/A,6.735
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.0,0.1,greedy,(,0.1225,N/A,8.28
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.0,0.1,beamsearch,(,0.1225,N/A,9.794
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.0,0.3,greedy,(,0.1225,N/A,9.737
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.0,0.3,beamsearch,(,0.1225,N/A,8.251
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.8,0.1,greedy,(V,0.4213,N/A,10.089
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.8,0.1,beamsearch,(V,0.4213,N/A,10.779
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.8,0.3,greedy,(V,0.4213,N/A,10.899
easyOCR_testimg\img_001_3px.png,upscale_2x,0.5,1.8,0.3,beamsearch,(V,0.4213,N/A,10.114
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.0,0.1,greedy,(,0.1225,N/A,7.685
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.0,0.1,beamsearch,(,0.1225,N/A,8.206
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.0,0.3,greedy,(,0.1225,N/A,8.264
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.0,0.3,beamsearch,(,0.1225,N/A,8.347
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.8,0.1,greedy,(V,0.4213,N/A,10.28
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.8,0.1,beamsearch,(V,0.4213,N/A,10.965
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.8,0.3,greedy,(V,0.4213,N/A,11.22
easyOCR_testimg\img_001_3px.png,upscale_2x,0.7,1.8,0.3,beamsearch,(V,0.4213,N/A,11.076
easyOCR_testimg\img_002_42px.png,gray,0.5,1.0,0.1,greedy,안녕,0.9987,N/A,2.423
easyOCR_testimg\img_002_42px.png,gray,0.5,1.0,0.1,beamsearch,안녕,0.9987,N/A,1.939
easyOCR_testimg\img_002_42px.png,gray,0.5,1.0,0.3,greedy,안녕,0.9987,N/A,2.141
easyOCR_testimg\img_002_42px.png,gray,0.5,1.0,0.3,beamsearch,안녕,0.9987,N/A,2.091
easyOCR_testimg\img_002_42px.png,gray,0.5,1.8,0.1,greedy,아 1  '  ' 0,0.3457,N/A,7.404
easyOCR_testimg\img_002_42px.png,gray,0.5,1.8,0.1,beamsearch,아 1  '  ' 0,0.3457,N/A,6.843
easyOCR_testimg\img_002_42px.png,gray,0.5,1.8,0.3,greedy,아 1  '  ' 0,0.3457,N/A,7.306
easyOCR_testimg\img_002_42px.png,gray,0.5,1.8,0.3,beamsearch,아 1  '  ' 0,0.3457,N/A,6.941
easyOCR_testimg\img_002_42px.png,gray,0.7,1.0,0.1,greedy,안녕,0.9987,N/A,2.305
easyOCR_testimg\img_002_42px.png,gray,0.7,1.0,0.1,beamsearch,안녕,0.9987,N/A,2.065
easyOCR_testimg\img_002_42px.png,gray,0.7,1.0,0.3,greedy,안녕,0.9987,N/A,1.955
easyOCR_testimg\img_002_42px.png,gray,0.7,1.0,0.3,beamsearch,안녕,0.9987,N/A,1.997
easyOCR_testimg\img_002_42px.png,gray,0.7,1.8,0.1,greedy,아 0,0.7323,N/A,6.369
easyOCR_testimg\img_002_42px.png,gray,0.7,1.8,0.1,beamsearch,아 0,0.7323,N/A,6.951
easyOCR_testimg\img_002_42px.png,gray,0.7,1.8,0.3,greedy,아 0,0.7323,N/A,6.587
easyOCR_testimg\img_002_42px.png,gray,0.7,1.8,0.3,beamsearch,아 0,0.7323,N/A,6.732
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.0,0.1,greedy,안녕,0.9966,N/A,2.194
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.0,0.1,beamsearch,안녕,0.9966,N/A,1.973
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.0,0.3,greedy,안녕,0.9966,N/A,2.101
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.0,0.3,beamsearch,안녕,0.9966,N/A,2.067
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.8,0.1,greedy,2 7 [ 0 아,0.3379,N/A,6.674
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.8,0.1,beamsearch,2 7 [ 0 아,0.3379,N/A,7.254
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.8,0.3,greedy,2 7 [ 0 아,0.3379,N/A,7.321
easyOCR_testimg\img_002_42px.png,clahe,0.5,1.8,0.3,beamsearch,2 7 [ 0 아,0.3379,N/A,6.472
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.0,0.1,greedy,안녕,0.9966,N/A,2.4
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.0,0.1,beamsearch,안녕,0.9966,N/A,2.304
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.0,0.3,greedy,안녕,0.9966,N/A,2.393
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.0,0.3,beamsearch,안녕,0.9966,N/A,2.496
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.8,0.1,greedy,0 아,0.73,N/A,6.923
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.8,0.1,beamsearch,0 아,0.73,N/A,6.73
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.8,0.3,greedy,0 아,0.73,N/A,6.541
easyOCR_testimg\img_002_42px.png,clahe,0.7,1.8,0.3,beamsearch,0 아,0.73,N/A,6.685
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.0,0.1,greedy,U든 [,0.0924,N/A,2.417
